WAVE,OPID,P011505,P011510,P011518,P011508,P99AG,P99ED01,P04ML01,JOBSAL
조사회차,패널ID,15세 아버지 직업,아버지 최종학력,15세 가정 형편,15세 부모님 관계,연령,학력,결혼경험,월 급여
7,613202,6,1,3,2,67,3,1,45
5,613302,6,2,4,3,65,2,1,120
1,613502,6,1,3,2,56,2,1,80
2,613502,6,1,3,2,57,2,1,92
3,613502,6,1,3,2,59,2,1,90
4,613502,6,1,3,2,61,2,1,100
5,613502,6,1,3,2,63,2,1,120
6,613502,6,1,3,2,65,2,1,105
7,613502,6,1,3,2,67,2,1,110
1,613702,9,2,5,2,53,2,1,80
2,613702,9,2,5,2,54,2,1,80
3,613702,9,2,5,2,56,2,1,50
4,613702,9,2,5,2,58,2,1,50
5,613702,9,2,5,2,60,2,1,50
6,613702,9,2,5,2,62,2,1,80
7,613702,9,2,5,2,64,2,1,84
1,613802,7,2,3,2,48,3,1,225
2,613802,7,2,3,2,49,3,1,250
1,613902,5,2,3,3,41,5,1,100
2,613902,5,2,3,3,42,5,1,93
3,613902,5,2,3,3,44,5,1,100
3,614002,6,1,4,4,65,2,1,180
7,614202,6,2,3,2,66,2,1,10
2,614402,6,3,4,2,35,5,1,100
3,614402,6,3,4,2,37,5,1,100
4,614402,6,3,4,2,39,5,1,150
5,614402,6,3,4,2,41,5,1,120
2,614602,6,3,3,2,37,5,1,60
6,614703,6,2,3,3,37,7,2,170
7,614703,6,2,3,3,39,7,2,190
5,614801,6,1,3,1,61,3,1,65
7,614801,6,1,3,1,65,3,1,100
7,614902,12,0,5,6,68,2,1,150
3,615302,6,2,4,4,41,4,1,48
5,615302,6,2,4,4,45,4,1,60
7,615302,6,2,4,4,49,4,1,150
2,615402,12,0,5,6,40,7,1,200
3,615402,12,0,5,6,42,7,1,300
4,615402,12,0,5,6,44,7,1,400
5,615402,12,0,5,6,46,7,1,530
6,615402,12,0,5,6,48,7,1,450
5,615502,9,2,4,4,37,4,1,66
6,615502,9,2,4,4,39,4,1,100
7,615502,9,2,4,4,41,4,1,110
5,615702,12,0,3,6,38,4,1,120
6,615702,12,0,3,6,40,4,1,170
7,615702,12,0,3,6,42,4,1,200
1,615802,1,6,1,2,44,7,1,100
2,615802,1,6,1,2,45,7,1,100
3,615802,1,6,1,2,47,7,1,200
4,615802,1,6,1,2,49,7,1,200
5,615802,1,6,1,2,51,7,1,250
6,615802,1,6,1,2,53,7,1,400
7,615802,1,6,1,2,55,7,1,350
