,,성장환경,,,,개인 spec.,,,,,,일자리 특징,,,,종속변수,,,,,,,,
WAVE,OPID,P011505,P011510,P011518,P011508,P99AG,P99ED01,P04ML01,P02ED07,P02MC01,P02ED16,WCSEL01,PP99RA,WCKD,WCEMP,JOBSAL,P03SJ01,P03RT04,P03JH03,P06SJ01,P06RT04,W10EJ01B,W09SJ01,W09TW09D
조사회차,패널ID,15세 아버지 직업,아버지 최종학력,15세 가정 형편,15세 부모님 관계,연령,학력,결혼경험,고등학교 종류,대학전공,대학소재지,일자리구분(정규/비정규),직위,직장종류,사업체 직원 수,월 급여,첫 직장입직,첫 직장 퇴직,첫직장 유지,새로운 일자리 입직,하던일 퇴직,최근 일자리 그만둔 시점,이전일자리 입직,이전일자리 퇴직
5,3202,6,1,4,2,56,4,1,,,,,,,,,,,,,,,,
6,3202,6,1,4,2,58,4,1,,,,,,,,,,,,,,,,
7,3202,6,1,4,2,60,4,1,,,,,,,,,,,,,,,,
1,3203,1,4,2,2,24,4,2,3,,,,,,,,2001,2004,2,,,2007,2006,2007
2,3203,1,4,2,2,25,4,2,,,,1,1,1,2,130,,,,,,,,
3,3203,1,4,2,2,27,4,2,,,,1,1,1,3,170,,,,,,,,
4,3203,1,4,2,2,29,4,2,,,,1,1,1,2,180,,,,,,,,
5,3203,1,4,2,2,31,4,2,,,,,,,,,,,,,,,,
6,3203,1,4,2,2,33,4,2,,,,1,1,1,2,200,,,,,,,,
7,3203,1,4,2,2,35,4,2,,,,1,1,1,2,225,,,,,,,,
3,3204,7,4,3,3,26,5,2,1,,,1,1,1,2,160,2004,2005,2,,,,2004,2005
4,3204,7,4,3,3,28,5,2,,,,1,1,1,3,150,,,,,,,,
5,3204,7,4,3,3,30,5,2,,,,1,1,1,3,160,,,,,,,,
6,3204,7,4,3,3,32,5,2,,,,1,1,1,3,200,,,,,,,,
4,3205,7,3,3,3,19,4,2,3,,,1,1,1,5,220,2011,,1,,,,,
5,3205,7,3,3,3,21,4,2,,,,1,1,1,5,200,,,,,,,,
6,3205,7,3,3,3,23,4,2,,,,,,,,,,,,,,,,
1,3301,2,3,4,2,51,5,1,1,,,1,1,1,6,333,1974,,1,,,,,
2,3301,2,3,4,2,52,5,1,,,,1,1,2,6,200,,,,,,,,
3,3301,2,3,4,2,54,5,1,,,,1,1,2,6,300,,,,,,,,
4,3301,2,3,4,2,56,5,1,,,,1,1,2,6,300,,,,,,,,
5,3301,2,3,4,2,58,5,1,,,,1,1,2,6,300,,,,,,,,
7,3301,2,3,4,2,62,5,1,,,,,,,,,,,,,,,,
1,3402,2,4,3,1,36,7,1,3,5,1,2,1,4,3,120,1996,2005,2,,,,1996,2005
2,3402,2,4,3,1,37,7,1,,,,2,1,1,3,150,,,,,,,,
3,3402,2,4,3,1,39,7,1,,,,2,1,1,2,40,,,,,,,,
4,3402,2,4,3,1,41,7,1,,,,2,1,1,1,20,,,,,,,,
5,3402,2,4,3,1,43,7,1,,,,,,,,,,,,,,,,
1,3502,5,3,4,2,38,4,1,3,,,2,1,1,3,120,1989,1993,2,,1993,,1989,1993
2,3502,5,3,4,2,39,4,1,,,,2,1,1,2,100,,,,,,,,
3,3502,5,3,4,2,41,4,1,,,,2,1,1,1,140,,,,,,,,
4,3502,5,3,4,2,43,4,1,,,,2,1,1,1,200,,,,,,,,
5,3502,5,3,4,2,45,4,1,,,,2,1,1,3,200,,,,,,,,
6,3502,5,3,4,2,47,4,1,,,,2,1,1,1,300,,,,,,,,
1,3602,5,2,3,2,55,3,1,,,,1,1,-9,-9,20,1973,1975,2,,,,1973,1975
3,3602,5,2,3,2,58,3,1,,,,,,,,,,,,,,,,
1,3702,5,2,3,4,39,5,1,1,,,,5,,,200,1987,1994,2,,1994,,1988,1994
2,3702,5,2,3,4,40,5,1,,,,,5,,,-9,,,,,,,,
3,3702,5,2,3,4,42,5,1,,,,2,1,1,3,40,,,,,,,,
4,3702,5,2,3,4,44,5,1,,,,2,1,5,4,61,,,,,,,,
5,3702,5,2,3,4,46,5,1,,,,,5,,,30,,,,,,,,
6,3702,5,2,3,4,48,5,1,,,,2,1,5,3,70,,,,,,,,
7,3702,5,2,3,4,50,6,1,,,,2,1,4,3,95,,,,,,,,
3,3705,7,3,4,3,25,7,2,1,1,1,2,1,1,1,130,2010,,1,,,,2009,2010
