age,JOBSAL,working_y,marry_no,univ_in_seoul,fulltime_job,univ_grad
43.0,300.0,5,0,0,0,0
42.0,150.0,2,1,0,1,0
52.0,200.0,4,0,0,0,1
44.0,210.0,4,0,1,1,1
36.0,200.0,13,0,0,1,1
55.0,200.0,9,0,0,0,0
37.0,130.0,2,0,1,0,1
33.0,200.0,14,0,0,1,0
39.0,200.0,2,0,0,1,1
59.0,150.0,3,0,0,0,0
52.0,200.0,9,0,0,1,0
24.0,180.0,2,1,0,1,1
56.0,150.0,11,0,0,0,0
33.0,200.0,9,1,1,1,1
48.0,200.0,9,0,0,1,0
40.0,150.0,9,0,1,0,1
33.0,200.0,4,1,0,1,1
24.0,200.0,1,1,0,1,1
37.0,300.0,5,1,0,0,1
41.0,150.0,1,0,0,0,0
53.0,150.0,14,0,0,0,0
49.0,200.0,6,0,0,0,0
56.0,120.0,6,0,0,0,0
41.0,62.0,6,0,0,0,0
44.0,200.0,9,0,0,0,0
55.0,150.0,11,0,0,0,0
25.0,165.0,1,1,0,1,1
28.0,200.0,5,0,0,1,1
25.0,100.0,1,1,0,0,1
49.0,100.0,12,0,0,0,1
38.0,80.0,6,0,0,0,0
21.0,180.0,2,1,0,1,0
50.0,190.0,7,0,0,1,0
26.0,200.0,5,1,0,1,1
23.0,180.0,1,1,0,1,1
20.0,120.0,1,1,0,0,0
25.0,150.0,1,1,0,1,1
28.0,250.0,5,1,0,1,1
58.0,100.0,5,0,0,0,0
20.0,180.0,1,1,0,1,0
24.0,60.0,5,0,0,0,1
55.0,80.0,9,0,0,0,0
57.0,150.0,2,0,0,0,0
34.0,200.0,2,1,0,1,1
58.0,150.0,5,0,0,0,0
45.0,180.0,5,0,0,1,1
27.0,200.0,2,1,0,0,1
29.0,270.0,7,1,0,1,1
52.0,130.0,6,0,0,0,0
25.0,200.0,1,1,0,1,1
29.0,250.0,4,1,0,1,1
27.0,140.0,1,1,0,1,1
32.0,320.0,5,0,0,1,1
56.0,150.0,9,0,0,0,0
29.0,200.0,4,1,0,1,1
25.0,160.0,2,1,0,1,1
34.0,180.0,6,1,0,1,1
44.0,100.0,1,0,0,0,0
34.0,300.0,12,0,0,1,1
27.0,120.0,1,1,1,1,1
32.0,300.0,9,0,0,1,1
27.0,200.0,1,1,0,1,1
26.0,180.0,1,1,0,1,1
33.0,180.0,14,0,0,1,0
25.0,300.0,1,1,0,0,1
29.0,150.0,1,1,1,1,1
29.0,220.0,2,1,0,1,1
51.0,150.0,4,0,0,1,0
48.0,150.0,1,0,0,0,0
20.0,150.0,1,0,0,1,0
24.0,220.0,2,1,0,1,1
42.0,160.0,3,1,0,1,1
31.0,200.0,6,0,0,1,1
31.0,250.0,8,1,0,0,1
37.0,300.0,13,0,1,1,1
29.0,270.0,5,1,1,1,1
29.0,200.0,6,1,1,1,1
23.0,300.0,1,1,1,0,1
31.0,90.0,7,1,1,0,1
33.0,140.0,10,1,1,1,1
36.0,100.0,1,0,1,1,1
36.0,200.0,14,1,0,1,1
